,County,State,lat,lng
132,Clarke County, Alabama,33.95,-83.36
133,Fayette County, Alabama,33.45,-84.48
134,Montgomery County, Alabama,39.15,-77.24
135,Marshall County, Alabama,34.37,-86.34
136,Blount County, Alabama,35.67,-83.85
137,Henry County, Alabama,33.43,-84.14
138,Madison County, Alabama,38.9,-89.93
139,Autauga County, Alabama,32.58,-86.5
140,Tallapoosa County, Alabama,32.92,-85.85
141,Geneva County, Alabama,31.1,-85.68
142,Wilcox County, Alabama,32.01,-87.34
143,Kodiak Island Borough, Alaska,57.54,-153.27
144,Denali Borough, Alaska,63.83,-149.73
145,Valdez-Cordova Census Area, Alaska,61.48,-144.11
146,Kenai Peninsula Borough, Alaska,60.09,-151.38
147,Aleutians West Census Area, Alaska,52.32,-174.16
148,Bristol Bay Borough, Alaska,58.76,-156.78
149,Northwest Arctic Borough, Alaska,67.29,-160.03
150,Bethel Census Area, Alaska,61.09,-160.86
151,North Slope Borough, Alaska,69.06,-152.86
152,Sitka City and Borough, Alaska,57.05,-135.33
153,Fairbanks North Star Borough, Alaska,64.95,-146.47
154,Ketchikan Gateway Borough, Alaska,55.51,-131.39
155,Matanuska-Susitna Borough, Alaska,62.26,-150.17
156,Yakutat City and Borough, Alaska,59.55,-139.73
157,Nome Census Area, Alaska,64.83,-164.26
158,Dillingham Census Area, Alaska,59.81,-157.72
159,Haines Borough, Alaska,59.14,-135.0
160,Juneau City and Borough, Alaska,58.3,-134.42
161,Lake and Peninsula Borough, Alaska,58.05,-156.6
162,Southeast Fairbanks Census Area, Alaska,63.96,-143.63
163,Yukon-Koyukuk Census Area, Alaska,65.84,-153.43
164,Anchorage Municipality, Alaska,61.22,-149.9
165,Aleutians East Borough, Alaska,55.54,-161.9
166,Prince of Wales-Hyder Census Area, Alaska,55.32,-132.6
167,Wrangell City and Borough, Alaska,56.47,-132.38
168,Hoonah-Angoon Census Area, Alaska,58.32,-136.04
169,Skagway Municipality, Alaska,59.46,-135.32
170,Petersburg Borough, Alaska,56.81,-132.96
171,Kusilvak Census Area, Alaska,62.15,-162.89
172,Pima County, Arizona,32.06,-111.67
173,Maricopa County, Arizona,33.29,-112.43
174,Gila County, Arizona,33.64,-110.52
175,Graham County, Arizona,33.08,-109.76
176,Santa Cruz County, Arizona,37.05,-121.96
177,Cochise County, Arizona,31.83,-109.95
178,La Paz County, Arizona,34.01,-113.95
179,Mohave County, Arizona,35.21,-113.76
180,Apache County, Arizona,35.53,-109.38
181,Coconino County, Arizona,35.66,-111.48
182,Yavapai County, Arizona,34.65,-112.43
183,Yuma County, Arizona,32.65,-113.95
184,Greenlee County, Arizona,33.24,-109.28
185,Navajo County, Arizona,35.4,-110.14
186,Pinal County, Arizona,32.82,-111.28
187,White County, Arkansas,34.66,-83.72
188,Nevada County, Arkansas,39.13,-121.17
189,St. Francis County, Arkansas,34.99,-90.72
190,Pulaski County, Arkansas,34.75,-92.22
191,Clay County, Arkansas,29.99,-81.78
192,Cross County, Arkansas,40.93,-73.86
193,Dallas County, Arkansas,32.8,-96.84
194,Drew County, Arkansas,33.52,-91.75
195,Columbia County, Arkansas,33.51,-82.26
196,Randolph County, Arkansas,35.74,-79.83
197,Saline County, Arkansas,34.57,-92.54
198,Van Buren County, Arkansas,42.25,-86.01
199,Boone County, Arkansas,38.99,-84.73
200,Izard County, Arkansas,36.16,-91.91
201,Independence County, Arkansas,35.82,-91.6
202,Lincoln County, Arkansas,35.46,-81.21
203,Logan County, Arkansas,40.39,-83.85
204,Grant County, Arkansas,47.2,-119.37
205,Crittenden County, Arkansas,35.3,-90.37
206,Franklin County, Arkansas,40.02,-82.99
207,Faulkner County, Arkansas,35.1,-92.38
208,Pike County, Arkansas,41.34,-75.06
209,Jefferson County, Arkansas,39.58,-105.27
210,Marion County, Arkansas,44.84,-122.59
211,Montgomery County, Arkansas,39.15,-77.24
212,Scott County, Arkansas,44.68,-93.54
213,Searcy County, Arkansas,35.97,-92.7
214,Sebastian County, Arkansas,35.23,-94.32
215,Crawford County, Arkansas,41.67,-80.28
216,Benton County, Arkansas,46.32,-119.5
217,Chicot County, Arkansas,33.34,-91.29
218,Hot Spring County, Arkansas,34.34,-92.98
219,Johnson County, Arkansas,38.85,-94.85
220,Lee County, Arkansas,26.66,-81.95
221,Madison County, Arkansas,38.9,-89.93
222,Desha County, Arkansas,33.88,-91.44
223,Fulton County, Arkansas,33.8,-84.4
224,Howard County, Arkansas,39.29,-76.96
225,Garland County, Arkansas,34.56,-93.18
226,Mississippi County, Arkansas,35.83,-90.07
227,Pope County, Arkansas,35.44,-93.02
228,Prairie County, Arkansas,34.76,-91.6
229,Union County, Arkansas,34.93,-80.54
230,Woodruff County, Arkansas,35.12,-91.14
231,Cleburne County, Arkansas,35.46,-92.07
232,Cleveland County, Arkansas,35.36,-81.6
233,Jackson County, Arkansas,38.99,-94.32
234,Hempstead County, Arkansas,33.65,-93.66
235,Sharp County, Arkansas,36.17,-91.44
236,Stone County, Arkansas,36.77,-93.46
237,Washington County, Arkansas,45.55,-123.14
238,Greene County, Arkansas,39.7,-83.89
239,Baxter County, Arkansas,36.33,-92.38
240,Ashley County, Arkansas,33.16,-91.75
241,Craighead County, Arkansas,35.83,-90.68
242,Lafayette County, Arkansas,39.0,-93.99
243,Perry County, Arkansas,40.37,-77.24
244,Yell County, Arkansas,35.08,-93.34
245,Phillips County, Arkansas,34.46,-90.87
246,Poinsett County, Arkansas,35.61,-90.64
247,Sevier County, Arkansas,35.83,-83.51
248,Calhoun County, Arkansas,42.21,-85.02
249,Clark County, Arkansas,36.08,-115.09
250,Bradley County, Arkansas,35.19,-84.86
251,Lawrence County, Arkansas,40.96,-80.37
252,Monroe County, Arkansas,43.28,-77.75
253,Polk County, Arkansas,27.86,-81.69
254,Conway County, Arkansas,35.27,-92.7
255,Ouachita County, Arkansas,33.58,-92.94
256,Newton County, Arkansas,33.55,-83.85
257,Arkansas County, Arkansas,34.24,-91.29
258,Little River County, Arkansas,33.68,-94.19
259,Lonoke County, Arkansas,34.76,-91.91
260,Carroll County, Arkansas,39.54,-77.06
261,Miller County, Arkansas,33.33,-93.87
262,Modoc County, California,41.46,-120.63
263,Merced County, California,37.2,-120.71
264,Lake County, California,42.37,-87.83
265,Mariposa County, California,37.49,-119.97
266,Yuba County, California,39.25,-121.4
267,Contra Costa County, California,37.85,-121.9
268,Inyo County, California,36.31,-117.55
269,Lassen County, California,40.54,-120.71
270,Stanislaus County, California,37.51,-120.99
271,Santa Barbara County, California,34.42,-119.7
272,Sonoma County, California,38.58,-122.99
273,Tehama County, California,40.1,-122.17
274,Imperial County, California,33.01,-115.47
275,Mono County, California,37.92,-118.95
276,San Benito County, California,36.58,-120.99
277,Alameda County, California,37.6,-121.72
278,Sacramento County, California,38.47,-121.35
279,El Dorado County, California,38.74,-120.44
280,Napa County, California,38.5,-122.27
281,San Diego County, California,32.72,-117.16
282,Monterey County, California,36.31,-121.35
283,San Francisco County, California,37.77,-122.42
284,Sierra County, California,39.55,-120.25
285,Tulare County, California,36.13,-118.86
286,Yolo County, California,38.76,-121.9
287,Humboldt County, California,40.75,-123.87
288,Nevada County, California,39.13,-121.17
289,Alpine County, California,38.59,-119.88
290,Madera County, California,37.25,-119.7
291,Mendocino County, California,39.55,-123.44
292,Santa Cruz County, California,37.05,-121.96
293,Trinity County, California,40.63,-123.06
294,Los Angeles County, California,34.05,-118.24
295,Riverside County, California,33.95,-117.4
296,San Bernardino County, California,34.96,-116.42
297,Santa Clara County, California,37.33,-121.89
298,Marin County, California,38.08,-122.76
299,Placer County, California,39.09,-120.8
300,Siskiyou County, California,41.77,-122.58
301,Shasta County, California,40.79,-121.85
302,Solano County, California,38.31,-121.9
303,Del Norte County, California,41.71,-123.97
304,Colusa County, California,39.1,-122.27
305,Glenn County, California,39.64,-122.45
306,Butte County, California,39.63,-121.54
307,Kings County, California,36.1,-119.88
308,Plumas County, California,39.99,-120.8
309,San Luis Obispo County, California,35.31,-120.44
310,Fresno County, California,36.99,-119.23
311,Kern County, California,35.49,-118.86
312,Orange County, California,33.72,-117.83
313,Ventura County, California,34.37,-119.14
314,Calaveras County, California,38.2,-120.68
315,Sutter County, California,39.02,-121.67
316,San Mateo County, California,37.43,-122.4
317,Tuolumne County, California,38.03,-119.97
318,San Joaquin County, California,37.92,-121.17
319,Amador County, California,38.35,-120.77
320,Costilla County, Colorado,37.2,-105.5
321,Adams County, Colorado,39.84,-104.19
322,Conejos County, Colorado,37.27,-106.25
323,Custer County, Colorado,38.06,-105.31
324,Douglas County, Colorado,39.26,-104.94
325,Eagle County, Colorado,39.58,-106.72
326,Lake County, Colorado,42.37,-87.83
327,La Plata County, Colorado,37.21,-107.76
328,Moffat County, Colorado,40.61,-108.24
329,Pitkin County, Colorado,39.16,-106.82
330,Rio Grande County, Colorado,37.57,-106.44
331,Cheyenne County, Colorado,41.25,-103.08
332,Bent County, Colorado,38.0,-103.08
333,Crowley County, Colorado,38.25,-103.82
334,Dolores County, Colorado,37.75,-108.52
335,San Juan County, Colorado,48.61,-122.96
336,Jackson County, Colorado,38.99,-94.32
337,Larimer County, Colorado,40.7,-105.59
338,Logan County, Colorado,40.39,-83.85
339,Montezuma County, Colorado,37.33,-108.62
340,San Miguel County, Colorado,37.98,-108.14
341,Teller County, Colorado,38.86,-105.17
342,Yuma County, Colorado,32.65,-113.95
343,Boulder County, Colorado,40.15,-105.5
344,Elbert County, Colorado,39.35,-104.19
345,Las Animas County, Colorado,37.3,-104.1
346,Lincoln County, Colorado,35.46,-81.21
347,Clear Creek County, Colorado,39.69,-105.64
348,Routt County, Colorado,40.48,-107.1
349,Summit County, Colorado,41.09,-81.56
350,Alamosa County, Colorado,37.65,-105.88
351,Delta County, Colorado,38.85,-107.76
352,Fremont County, Colorado,38.53,-105.5
353,Pueblo County, Colorado,38.25,-104.47
354,Montrose County, Colorado,38.47,-108.14
355,Morgan County, Colorado,41.06,-111.62
356,Park County, Colorado,39.09,-105.59
357,Saguache County, Colorado,38.0,-106.35
358,Mesa County, Colorado,38.96,-108.62
359,Prowers County, Colorado,37.84,-102.25
360,Hinsdale County, Colorado,37.93,-107.38
361,El Paso County, Colorado,31.8,-106.21
362,Washington County, Colorado,45.55,-123.14
363,Grand County, Colorado,40.07,-106.06
364,Arapahoe County, Colorado,39.62,-104.33
365,Otero County, Colorado,32.63,-105.59
366,Phillips County, Colorado,34.46,-90.87
367,Archuleta County, Colorado,37.16,-107.01
368,Denver County, Colorado,39.74,-104.99
369,Kiowa County, Colorado,37.53,-99.28
370,Huerfano County, Colorado,37.61,-104.94
371,Baca County, Colorado,37.39,-102.53
372,Chaffee County, Colorado,38.75,-106.25
373,Gilpin County, Colorado,39.88,-105.45
374,Kit Carson County, Colorado,39.38,-102.53
375,Garfield County, Colorado,39.66,-107.76
376,Gunnison County, Colorado,38.64,-107.01
377,Jefferson County, Colorado,39.58,-105.27
378,Mineral County, Colorado,37.66,-107.01
379,Ouray County, Colorado,38.2,-107.76
380,Rio Blanco County, Colorado,39.98,-108.24
381,Sedgwick County, Colorado,37.65,-97.52
382,Weld County, Colorado,40.39,-104.72
383,New Haven County, Connecticut,41.33,-72.8
384,Litchfield County, Connecticut,41.79,-73.28
385,Hartford County, Connecticut,41.79,-72.8
386,Windham County, Connecticut,41.83,-72.05
387,New London County, Connecticut,41.52,-72.05
388,Middlesex County, Connecticut,40.41,-74.36
389,Tolland County, Connecticut,41.84,-72.38
390,Fairfield County, Connecticut,39.83,-82.65
391,Santa Rosa County, Florida,30.77,-86.98
392,Broomfield County, Colorado,39.92,-105.09
393,New Castle County, Delaware,39.54,-75.67
394,Sussex County, Delaware,38.65,-75.43
395,Kent County, Delaware,43.01,-85.52
396,Manatee County, Florida,27.48,-82.35
397,Citrus County, Florida,28.88,-82.52
398,Levy County, Florida,29.32,-82.82
399,Baker County, Florida,44.77,-117.68
400,Volusia County, Florida,29.03,-81.08
401,Leon County, Florida,30.49,-84.19
402,Broward County, Florida,26.19,-80.37
403,Madison County, Florida,38.9,-89.93
404,Monroe County, Florida,43.28,-77.75
405,Escambia County, Florida,30.64,-87.34
406,Hernando County, Florida,28.56,-82.48
407,Hillsborough County, Florida,27.99,-82.3
408,Okaloosa County, Florida,30.58,-86.66
409,Taylor County, Florida,32.25,-99.81
410,Wakulla County, Florida,30.13,-84.35
411,Washington County, Florida,45.55,-123.14
412,Duval County, Florida,30.35,-81.6
413,Bradford County, Florida,29.97,-82.17
414,Brevard County, Florida,28.26,-80.72
415,Clay County, Florida,29.99,-81.78
416,Lafayette County, Florida,39.0,-93.99
417,Lake County, Florida,42.37,-87.83
418,Nassau County, Florida,40.65,-73.56
419,Pinellas County, Florida,27.88,-82.78
420,Polk County, Florida,27.86,-81.69
421,St. Lucie County, Florida,27.32,-80.54
422,Glades County, Florida,26.98,-81.08
423,Hendry County, Florida,26.61,-81.08
424,Indian River County, Florida,27.69,-80.54
425,Jackson County, Florida,38.99,-94.32
426,Palm Beach County, Florida,26.65,-80.28
427,St. Johns County, Florida,29.97,-81.43
428,Seminole County, Florida,28.71,-81.21
429,Miami-Dade County, Florida,25.55,-80.63
430,Bay County, Florida,30.18,-85.68
431,Flagler County, Florida,29.41,-81.25
432,Franklin County, Florida,40.02,-82.99
433,Gulf County, Florida,29.8,-85.35
434,Hamilton County, Florida,39.24,-84.56
435,Liberty County, Florida,30.16,-94.81
436,Osceola County, Florida,28.1,-81.08
437,Sumter County, Florida,28.67,-82.08
438,Walton County, Florida,30.56,-86.18
439,Gadsden County, Florida,30.56,-84.65
440,Holmes County, Florida,40.55,-81.91
441,Jefferson County, Florida,39.58,-105.27
442,Lee County, Florida,26.66,-81.95
443,Marion County, Florida,44.84,-122.59
444,Hardee County, Florida,27.45,-81.82
445,Collier County, Florida,26.07,-81.43
446,Okeechobee County, Florida,27.35,-80.9
447,Orange County, Florida,33.72,-117.83
448,Alachua County, Florida,29.66,-82.3
449,District of Columbia, District of Columbia,38.91,-77.04
450,Pasco County, Florida,28.32,-82.43
451,Gilchrist County, Florida,29.69,-82.82
452,Highlands County, Florida,27.34,-81.34
453,Suwannee County, Florida,30.25,-82.99
454,DeSoto County, Florida,34.91,-89.96
455,Calhoun County, Florida,42.21,-85.02
456,Charlotte County, Florida,26.89,-81.91
457,Columbia County, Florida,33.51,-82.26
458,Dixie County, Florida,29.52,-83.16
459,Martin County, Florida,27.08,-80.41
460,Putnam County, Florida,41.44,-73.79
461,Sarasota County, Florida,27.2,-82.35
462,Union County, Florida,34.93,-80.54
463,Clay County, Georgia,29.99,-81.78
464,Echols County, Georgia,30.75,-82.95
465,Glynn County, Georgia,31.26,-81.6
466,DeKalb County, Georgia,33.8,-84.23
467,Haralson County, Georgia,33.8,-85.19
468,Lincoln County, Georgia,35.46,-81.21
469,Jackson County, Georgia,38.99,-94.32
470,Jefferson County, Georgia,39.58,-105.27
471,Jones County, Georgia,31.53,-89.17
472,Murray County, Georgia,34.79,-84.73
473,Muscogee County, Georgia,32.48,-84.9
474,Pulaski County, Georgia,34.75,-92.22
475,Rabun County, Georgia,34.9,-83.38
476,Stewart County, Georgia,36.5,-87.78
477,Towns County, Georgia,34.92,-83.72
478,Treutlen County, Georgia,32.39,-82.58
479,Turner County, Georgia,31.7,-83.63
480,Irwin County, Georgia,31.59,-83.29
481,Atkinson County, Georgia,31.29,-82.86
482,Appling County, Georgia,31.71,-82.26
483,Bacon County, Georgia,31.54,-82.43
484,Brantley County, Georgia,31.15,-82.0
485,Whitfield County, Georgia,34.8,-84.98
486,Calhoun County, Georgia,42.21,-85.02
487,Macon County, Georgia,35.12,-83.34
488,Troup County, Georgia,33.07,-85.02
489,Bibb County, Georgia,32.79,-83.72
490,Harris County, Georgia,29.78,-95.31
491,Marion County, Georgia,44.84,-122.59
492,Schley County, Georgia,32.27,-84.31
493,Worth County, Georgia,43.36,-93.34
494,Bleckley County, Georgia,32.41,-83.38
495,Dooly County, Georgia,32.16,-83.8
496,Evans County, Georgia,32.14,-81.91
497,Franklin County, Georgia,40.02,-82.99
498,Webster County, Georgia,42.4,-94.15
499,Effingham County, Georgia,32.38,-81.38
500,Lamar County, Georgia,33.76,-95.65
501,Glascock County, Georgia,33.24,-82.63
502,Emanuel County, Georgia,32.57,-82.3
503,Quitman County, Georgia,31.85,-84.98
504,Chatham County, Georgia,32.0,-81.12
505,Liberty County, Georgia,30.16,-94.81
506,Jasper County, Georgia,32.49,-81.08
507,Johnson County, Georgia,38.85,-94.85
508,Lanier County, Georgia,31.03,-83.04
509,Madison County, Georgia,38.9,-89.93
510,Mitchell County, Georgia,36.03,-82.15
511,Seminole County, Georgia,28.71,-81.21
512,Tift County, Georgia,31.42,-83.55
513,Twiggs County, Georgia,32.68,-83.46
514,Polk County, Georgia,27.86,-81.69
515,Talbot County, Georgia,38.78,-76.13
516,Taylor County, Georgia,32.25,-99.81
517,Terrell County, Georgia,30.23,-102.16
518,Thomas County, Georgia,30.84,-83.85
519,Toombs County, Georgia,32.08,-82.35
520,Wilkinson County, Georgia,32.8,-83.16
521,Ben Hill County, Georgia,31.77,-83.21
522,Burke County, Georgia,35.76,-81.73
523,Catoosa County, Georgia,34.9,-85.15
524,Chattahoochee County, Georgia,32.3,-84.82
525,Chattooga County, Georgia,34.46,-85.31
526,Columbia County, Georgia,33.51,-82.26
527,Decatur County, Georgia,39.32,-85.52
528,Floyd County, Georgia,34.28,-85.23
529,Forsyth County, Georgia,34.24,-84.14
530,Habersham County, Georgia,34.65,-83.55
531,Hart County, Georgia,34.35,-82.95
532,Lowndes County, Georgia,30.86,-83.29
533,McIntosh County, Georgia,31.47,-81.38
534,Meriwether County, Georgia,33.06,-84.69
535,Monroe County, Georgia,43.28,-77.75
536,Putnam County, Georgia,41.44,-73.79
537,Sumter County, Georgia,28.67,-82.08
538,Taliaferro County, Georgia,33.57,-82.89
539,Warren County, Georgia,39.42,-84.19
540,Baker County, Georgia,44.77,-117.68
541,Bryan County, Georgia,32.02,-81.47
542,Butts County, Georgia,33.27,-83.95
543,Candler County, Georgia,32.42,-82.08
544,Camden County, Georgia,39.86,-75.01
545,Carroll County, Georgia,39.54,-77.06
546,Crawford County, Georgia,41.67,-80.28
547,Early County, Georgia,31.39,-84.9
548,Crisp County, Georgia,31.89,-83.8
549,Coffee County, Georgia,35.46,-86.05
550,Coweta County, Georgia,33.37,-84.73
551,Cobb County, Georgia,33.9,-84.56
552,Gilmer County, Georgia,34.69,-84.48
553,Dade County, Georgia,25.55,-80.63
554,Walton County, Georgia,30.56,-86.18
555,Wilkes County, Georgia,36.2,-81.25
556,Brooks County, Georgia,27.03,-98.22
557,Dodge County, Georgia,43.4,-88.71
558,Gordon County, Georgia,34.49,-84.86
559,Elbert County, Georgia,39.35,-104.19
560,Cherokee County, Georgia,34.25,-84.48
561,Fayette County, Georgia,33.45,-84.48
562,Jenkins County, Georgia,32.78,-82.0
563,Lee County, Georgia,26.66,-81.95
564,Newton County, Georgia,33.55,-83.85
565,Pickens County, Georgia,34.9,-82.65
566,Greene County, Georgia,39.7,-83.89
567,Colquitt County, Georgia,31.21,-83.85
568,Cook County, Georgia,41.74,-87.7
569,Dawson County, Georgia,34.41,-84.14
570,Hancock County, Georgia,39.82,-85.85
571,Clayton County, Georgia,33.56,-84.38
572,Fulton County, Georgia,33.8,-84.4
573,Hall County, Georgia,34.31,-83.8
574,Lumpkin County, Georgia,34.58,-83.97
575,McDuffie County, Georgia,33.53,-82.52
576,Miller County, Georgia,33.33,-93.87
577,Morgan County, Georgia,41.06,-111.62
578,Heard County, Georgia,33.3,-85.15
579,Oconee County, Georgia,33.82,-83.44
580,Dougherty County, Georgia,31.54,-84.23
581,Fannin County, Georgia,33.55,-96.15
582,Henry County, Georgia,33.43,-84.14
583,Houston County, Georgia,32.42,-83.63
584,Laurens County, Georgia,34.52,-82.13
585,Long County, Georgia,31.78,-81.82
586,Spalding County, Georgia,33.26,-84.31
587,Stephens County, Georgia,34.55,-83.29
588,Telfair County, Georgia,31.89,-82.99
589,Union County, Georgia,34.93,-80.54
590,Upson County, Georgia,32.9,-84.31
591,Washington County, Georgia,45.55,-123.14
592,White County, Georgia,34.66,-83.72
593,Peach County, Georgia,32.59,-83.83
594,Paulding County, Georgia,33.91,-84.9
595,Pierce County, Georgia,47.07,-122.13
596,Pike County, Georgia,41.34,-75.06
597,Richmond County, Georgia,33.32,-82.08
598,Screven County, Georgia,32.71,-81.6
599,Tattnall County, Georgia,32.06,-82.08
600,Berrien County, Georgia,42.03,-86.74
601,Walker County, Georgia,30.68,-95.65
602,Gwinnett County, Georgia,33.92,-84.02
603,Barrow County, Georgia,34.01,-83.7
604,Charlton County, Georgia,30.79,-82.08
605,Clinch County, Georgia,30.97,-82.82
606,Bartow County, Georgia,34.27,-84.82
