County,State,lat,lng,Unnamed: 0,Temp
Coosa County, Alabama,32.8897772,-86.2196937,112,78.8
Dale County, Alabama,31.4645298,-85.684578,113,78.01
Hale County, Alabama,34.1064941,-101.8891721,114,69.8
Etowah County, Alabama,34.0455341,-86.0529604,115,75.2
DeKalb County, Alabama,33.7956441,-84.2278796,116,77
Escambia County, Alabama,30.6389408,-87.3413599,117,73
Lamar County, Alabama,33.75694,-95.6457951,118,77
Randolph County, Alabama,35.7449531,-79.8296743,119,48
Butler County, Alabama,39.440463,-84.5222189,120,46.99
Mobile County, Alabama,30.6082227,-88.2461183,121,73
Conecuh County, Alabama,31.501571,-86.9824288,122,79
Perry County, Alabama,40.371376,-77.2405153,123,45
Walker County, Alabama,30.6815394,-95.6457951,124,82.99
Cleburne County, Alabama,35.4605769,-92.0665197,125,75.2
Greene County, Alabama,39.697399,-83.8897057,126,46.4
Barbour County, Alabama,31.8172896,-85.354965,127,78.01
Bibb County, Alabama,32.7865735,-83.7199136,128,75.2
Bullock County, Alabama,32.0573536,-85.7256372,129,78.8
Calhoun County, Alabama,42.2073905,-85.023346,130,39.2
Chambers County, Alabama,29.7524956,-94.6863782,131,82.4
Clarke County, Alabama,33.9519347,-83.357567,132,75
Fayette County, Alabama,33.4502206,-84.4802606,133,77
Montgomery County, Alabama,39.1547426,-77.2405153,134,42.01
Marshall County, Alabama,34.3652297,-86.3376761,135,70
Blount County, Alabama,35.6710541,-83.8473015,136,66
Henry County, Alabama,33.4347963,-84.1435136,137,77
Madison County, Alabama,38.9041402,-89.9253233,138,66.99
Autauga County, Alabama,32.5791817,-86.4996546,139,80.01
Tallapoosa County, Alabama,32.9201244,-85.8486236,140,77
Geneva County, Alabama,31.0990456,-85.684578,141,79
Wilcox County, Alabama,32.0105439,-87.3413599,142,79
Kodiak Island Borough, Alaska,57.5369343,-153.2659352,143,37.4
Denali Borough, Alaska,63.8257173,-149.7317835,144,33.8
Valdez-Cordova Census Area, Alaska,61.4787707,-144.1147195,145,22.31
Kenai Peninsula Borough, Alaska,60.0858486,-151.382264,146,39
Aleutians West Census Area, Alaska,52.3232697,-174.1596072,147,37.7
Bristol Bay Borough, Alaska,58.7578504,-156.7792687,148,37.4
Northwest Arctic Borough, Alaska,67.2872981,-160.0342624,149,28.4
Bethel Census Area, Alaska,61.093446,-160.8640773,150,39.2
North Slope Borough, Alaska,69.0578758,-152.8628274,151,14.08
Sitka City and Borough, Alaska,57.0530556,-135.33,152,44.6
Fairbanks North Star Borough, Alaska,64.9526102,-146.4744154,153,41
Ketchikan Gateway Borough, Alaska,55.5103345,-131.389286,154,44.6
Matanuska-Susitna Borough, Alaska,62.2599347,-150.1729153,155,39.99
Yakutat City and Borough, Alaska,59.5469878,-139.7272808,156,39.2
Nome Census Area, Alaska,64.8329974,-164.256602,157,33.01
Dillingham Census Area, Alaska,59.8067792,-157.7242585,158,33.8
Haines Borough, Alaska,59.1392237,-135,159,39.2
Juneau City and Borough, Alaska,58.3019444,-134.4197221,160,42.8
Lake and Peninsula Borough, Alaska,58.0458356,-156.5982286,161,37.4
Southeast Fairbanks Census Area, Alaska,63.9603869,-143.6296999,162,21.28
Yukon-Koyukuk Census Area, Alaska,65.8443666,-153.4302993,163,24.8
Anchorage Municipality, Alaska,61.2180556,-149.9002778,164,39.99
Aleutians East Borough, Alaska,55.5388006,-161.8988535,165,39.2
Prince of Wales-Hyder Census Area, Alaska,55.3242244,-132.6044581,166,44.6
Wrangell City and Borough, Alaska,56.4708333,-132.3766666,167,37.99
Hoonah-Angoon Census Area, Alaska,58.3176505,-136.0390896,168,42.8
Skagway Municipality, Alaska,59.4554025,-135.315279,169,39.2
Petersburg Borough, Alaska,56.8125,-132.9555556,170,41
Kusilvak Census Area, Alaska,62.1458336,-162.891919,171,33.8
Pima County, Arizona,32.057499,-111.6660725,172,64.99
Maricopa County, Arizona,33.2917968,-112.4291464,173,68
Gila County, Arizona,33.6370567,-110.5215459,174,64
Graham County, Arizona,33.076805,-109.7591675,175,60.8
Santa Cruz County, Arizona,37.0453988,-121.9579578,176,55
Cochise County, Arizona,31.828458,-109.949686,177,63
La Paz County, Arizona,34.0061091,-113.9536466,178,66
Mohave County, Arizona,35.2143346,-113.7632828,179,55.4
Apache County, Arizona,35.5313224,-109.3783206,180,46.4
Coconino County, Arizona,35.6647545,-111.4752851,181,46.99
Yavapai County, Arizona,34.6463981,-112.4291464,182,57
Yuma County, Arizona,32.6527533,-113.9536466,183,64
Greenlee County, Arizona,33.2405598,-109.2831531,184,61
Navajo County, Arizona,35.4019765,-110.1402594,185,55.4
Pinal County, Arizona,32.8162061,-111.2845025,186,66
White County, Arkansas,34.6567728,-83.7199136,187,59
Nevada County, Arkansas,39.1346666,-121.1710389,188,54
St. Francis County, Arkansas,34.9926533,-90.7152749,189,64.99
Pulaski County, Arkansas,34.7538615,-92.2236667,190,75.99
Clay County, Arkansas,29.9943564,-81.7787021,191,82.4
Cross County, Arkansas,40.9276239,-73.8558481,192,48.2
Dallas County, Arkansas,32.8024682,-96.8350999,193,79
Drew County, Arkansas,33.5156463,-91.7538817,194,64.4
Columbia County, Arkansas,33.5098514,-82.2583297,195,78.8
Randolph County, Arkansas,35.7449531,-79.8296743,196,48
Saline County, Arkansas,34.5708215,-92.539603,197,75.99
Van Buren County, Arkansas,42.2459665,-86.0121573,198,39.2
Boone County, Arkansas,38.9940572,-84.7315563,199,46.99
Izard County, Arkansas,36.1610924,-91.9099238,200,73.4
Independence County, Arkansas,35.8174139,-91.5983959,201,73.4
Lincoln County, Arkansas,35.4637028,-81.2078164,202,48.2
Logan County, Arkansas,40.3899679,-83.8473015,203,46
Grant County, Arkansas,47.1981147,-119.3732456,204,37.4
Crittenden County, Arkansas,35.3021443,-90.3748354,205,64
Franklin County, Arkansas,40.0154745,-82.9931607,206,51.01
Faulkner County, Arkansas,35.1035858,-92.3813621,207,75.99
Pike County, Arkansas,41.3361875,-75.0611147,208,48.2
Jefferson County, Arkansas,39.5800298,-105.2662931,209,52
Marion County, Arkansas,29.2787765,-82.12784,210,48
Montgomery County, Arkansas,39.1547426,-77.2405153,211,42.01
Scott County, Arkansas,44.6834072,-93.5407909,212,36
Searcy County, Arkansas,35.9721,-92.6983868,213,73.4
Sebastian County, Arkansas,35.2260397,-94.315422,214,75.99
Crawford County, Arkansas,41.6661391,-80.2767327,215,48
Benton County, Arkansas,46.3166362,-119.5021582,216,37.99
Chicot County, Arkansas,33.3419551,-91.2891036,217,66.2
Hot Spring County, Arkansas,34.3393795,-92.9775558,218,75.99
Johnson County, Arkansas,38.845412,-94.8520636,219,44.6
Lee County, Arkansas,26.6630286,-81.9534815,220,84.99
Madison County, Arkansas,38.9041402,-89.9253233,221,66.99
Desha County, Arkansas,33.8773585,-91.443469,222,71.6
Fulton County, Arkansas,33.8033965,-84.3962535,223,77
Howard County, Arkansas,39.2873463,-76.964306,224,41
Garland County, Arkansas,34.5559285,-93.1779659,225,75.99
Mississippi County, Arkansas,35.8279728,-90.0746767,226,68
Pope County, Arkansas,45.5472257,-95.4363717,227,75.2
Prairie County, Arkansas,34.7636336,-91.5983959,228,73.4
Union County, Arkansas,34.9338651,-80.543845,229,51.01
Woodruff County, Arkansas,35.1215846,-91.135302,230,73.4
Cleburne County, Arkansas,35.4605769,-92.0665197,231,75.2
Cleveland County, Arkansas,35.361354,-81.6035062,232,46.4
Jackson County, Arkansas,38.9914998,-94.315422,233,51.01
Hempstead County, Arkansas,33.6530112,-93.6623239,234,78.01
Sharp County, Arkansas,36.1675974,-91.443469,235,73
Stone County, Arkansas,36.7748882,-93.4599326,236,68
Washington County, Arkansas,45.5469616,-123.1386021,237,50
Greene County, Arkansas,39.697399,-83.8897057,238,46.4
Baxter County, Arkansas,36.3261815,-92.3813621,239,73.4
Ashley County, Arkansas,33.1565939,-91.7538817,240,66.2
Craighead County, Arkansas,35.8260959,-90.6773046,241,68
Lafayette County, Arkansas,39.0031288,-93.9878427,242,55.99
Perry County, Arkansas,40.371376,-77.2405153,243,45
Yell County, Arkansas,35.0810824,-93.3388917,244,75.2
Phillips County, Arkansas,34.4611206,-90.8675134,245,66.2
Poinsett County, Arkansas,35.6078586,-90.6393702,246,66.2
Sevier County, Arkansas,35.8271682,-83.5070203,247,64.99
Calhoun County, Arkansas,42.2073905,-85.023346,248,39.2
Clark County, Arkansas,36.0795613,-115.094045,249,60.01
Bradley County, Arkansas,35.1937778,-84.8567932,250,66
Lawrence County, Arkansas,40.957855,-80.365865,251,48
Monroe County, Arkansas,43.2841246,-77.7452081,252,37.99
Polk County, Arkansas,27.8617347,-81.6911559,253,84.2
Conway County, Arkansas,35.2727492,-92.6983868,254,75.99
Ouachita County, Arkansas,33.5828512,-92.9375739,255,78.8
Newton County, Arkansas,33.5544296,-83.8473015,256,75.2
Arkansas County, Arkansas,34.2354138,-91.2891036,257,71.6
Little River County, Arkansas,33.6808926,-94.19234,258,75.99
Lonoke County, Arkansas,34.7591647,-91.9099238,259,75.99
Carroll County, Arkansas,39.5423418,-77.0564464,260,41
Miller County, Arkansas,33.3335556,-93.8655303,261,78.01
Modoc County, California,41.4565165,-120.629366,262,33.8
Merced County, California,37.2009788,-120.7120023,263,57.2
Lake County, California,28.702847,-81.7787021,264,39.2
Mariposa County, California,37.4893626,-119.9679294,265,57.2
Yuba County, California,39.2547027,-121.3998995,266,54
Contra Costa County, California,37.8534093,-121.9017954,267,57
Inyo County, California,36.3091865,-117.5495846,268,44.23
Lassen County, California,40.5394389,-120.7120023,269,39.2
Stanislaus County, California,37.5090711,-120.9876321,270,57
Santa Barbara County, California,34.4208321,-119.6982057,271,60.8
Sonoma County, California,38.5779555,-122.9888319,272,53.01
Tehama County, California,40.0982197,-122.174605,273,46.4
Imperial County, California,33.0113694,-115.4733554,274,66.2
Mono County, California,37.9218608,-118.9528645,275,55.4
San Benito County, California,36.5760883,-120.9876321,276,55.99
Alameda County, California,37.6016892,-121.7195459,277,55.4
Sacramento County, California,38.47467,-121.3541631,278,55
El Dorado County, California,38.7426376,-120.4357631,279,52
Napa County, California,38.5024689,-122.2653887,280,57
San Diego County, California,32.7157305,-117.1610966,281,60.8
Monterey County, California,36.3136201,-121.3541631,282,54
San Francisco County, California,37.7749295,-122.4194155,283,55.99
Sierra County, California,39.5532845,-120.2512728,284,44.6
Tulare County, California,36.1341739,-118.8596804,285,60.01
Yolo County, California,38.7646021,-121.9017954,286,55.4
Humboldt County, California,40.7450055,-123.8695086,287,51.8
Nevada County, California,39.1346666,-121.1710389,288,54
Alpine County, California,38.5940736,-119.8815203,289,45
Madera County, California,37.251926,-119.6962677,290,57.2
Mendocino County, California,39.5500194,-123.438353,291,48.2
Santa Cruz County, California,37.0453988,-121.9579578,292,55
Trinity County, California,40.6329485,-123.0622553,293,42.8
Los Angeles County, California,34.0522265,-118.2436596,294,62.01
Riverside County, California,33.9532966,-117.3961192,295,63
San Bernardino County, California,34.9592083,-116.419389,296,60.8
Santa Clara County, California,37.3336581,-121.8907041,297,55
Marin County, California,38.083403,-122.7633036,298,55.99
Placer County, California,39.0915751,-120.8039474,299,54
Siskiyou County, California,41.7743261,-122.5770126,300,51.01
Shasta County, California,40.7908864,-121.8474493,301,42.8
Solano County, California,38.3104969,-121.9017954,302,57
Del Norte County, California,41.7076287,-123.9659708,303,51.8
Colusa County, California,39.1040645,-122.2653887,304,52
Glenn County, California,39.6437813,-122.4467238,305,48
Butte County, California,39.6253952,-121.5370003,306,52
Kings County, California,36.0988489,-119.8815203,307,60.01
Plumas County, California,39.9926832,-120.8039474,308,39.2
San Luis Obispo County, California,35.3102296,-120.4357631,309,55.99
Fresno County, California,36.9858984,-119.2320784,310,57.2
Kern County, California,35.4937274,-118.8596804,311,60.01
Orange County, California,33.7174708,-117.8311428,312,63
Ventura County, California,34.3704884,-119.1390642,313,60.8
Calaveras County, California,38.1960477,-120.6805037,314,55.4
Sutter County, California,39.0219764,-121.6739371,315,54
San Mateo County, California,37.4337342,-122.4014193,316,55.99
Tuolumne County, California,38.029655,-119.9740534,317,55.4
San Joaquin County, California,37.9175935,-121.1710389,318,55.4
Amador County, California,38.3488921,-120.7740931,319,54
Costilla County, Colorado,37.2049596,-105.5005483,320,44.6
Adams County, Colorado,39.8398269,-104.1930918,321,52
Conejos County, Colorado,37.2689711,-106.2522143,322,44.6
Custer County, Colorado,38.0615578,-105.3131185,323,59
Douglas County, Colorado,39.2587106,-104.9388853,324,52
Eagle County, Colorado,39.576406,-106.7234639,325,37
Lake County, Colorado,28.702847,-81.7787021,326,39.2
La Plata County, Colorado,37.2125857,-107.763621,327,48.2
Moffat County, Colorado,40.6138379,-108.2377519,328,32
Pitkin County, Colorado,39.159101,-106.8178377,329,37
Rio Grande County, Colorado,37.5749508,-106.4405872,330,44.6
Cheyenne County, Colorado,41.2509264,-103.0817903,331,35.6
Bent County, Colorado,38.0036339,-103.0817903,332,60.8
Crowley County, Colorado,38.2498631,-103.8216261,333,60.8
Dolores County, Colorado,37.7530272,-108.5225709,334,42.8
San Juan County, Colorado,48.6118035,-122.9602621,335,46.99
Jackson County, Colorado,38.9914998,-94.315422,336,51.01
Larimer County, Colorado,40.6955572,-105.5943388,337,53.6
Logan County, Colorado,40.3899679,-83.8473015,338,46
Montezuma County, Colorado,37.3257517,-108.6175626,339,42.8
San Miguel County, Colorado,37.9781237,-108.1428669,340,42.8
Teller County, Colorado,38.8611579,-105.1726816,341,55.4
Yuma County, Colorado,32.6527533,-113.9536466,342,64
Boulder County, Colorado,40.1512114,-105.5005483,343,53.6
Elbert County, Colorado,39.3537004,-104.1930918,344,52
Las Animas County, Colorado,37.2994909,-104.1001326,345,59
Lincoln County, Colorado,35.4637028,-81.2078164,346,48.2
Clear Creek County, Colorado,39.6904464,-105.6412527,347,52
Routt County, Colorado,40.4771623,-107.1011931,348,30.2
Summit County, Colorado,41.0918991,-81.5596427,349,48.99
Alamosa County, Colorado,37.654039,-105.876004,350,44.6
Delta County, Colorado,38.8531357,-107.763621,351,46.4
Fremont County, Colorado,38.5306514,-105.5005483,352,44.01
Pueblo County, Colorado,38.2528534,-104.4723301,353,60.8
Montrose County, Colorado,38.468304,-108.1428669,354,46.4
Morgan County, Colorado,41.0576176,-111.6183755,355,44.01
Park County, Colorado,39.0897928,-105.5943388,356,52
Saguache County, Colorado,38.0019623,-106.3463791,357,41
Mesa County, Colorado,38.9585381,-108.6175626,358,46.4
Prowers County, Colorado,37.8433756,-102.2547919,359,57.2
Hinsdale County, Colorado,37.9316309,-107.3848831,360,37.99
El Paso County, Colorado,31.8039824,-106.2051484,361,64.99
Washington County, Colorado,45.5469616,-123.1386021,362,50
Grand County, Colorado,40.0727382,-106.0640179,363,35.6
Arapahoe County, Colorado,39.62031,-104.332644,364,52
Otero County, Colorado,32.6341716,-105.5943388,365,64
Phillips County, Colorado,34.4611206,-90.8675134,366,66.2
Archuleta County, Colorado,37.1604318,-107.0067031,367,39.2
Denver County, Colorado,39.7392358,-104.990251,368,52
Kiowa County, Colorado,37.5285165,-99.2785583,369,53.6
Huerfano County, Colorado,37.6125984,-104.9388853,370,59
Baca County, Colorado,37.394731,-102.5298028,371,59
Chaffee County, Colorado,38.7536679,-106.2522143,372,41
Gilpin County, Colorado,39.8770159,-105.4536718,373,53.6
Kit Carson County, Colorado,39.3844507,-102.5298028,374,46.99
Garfield County, Colorado,39.6584775,-107.763621,375,41
Gunnison County, Colorado,38.6437083,-107.0067031,376,34
Jefferson County, Colorado,39.5800298,-105.2662931,377,52
Mineral County, Colorado,37.6583677,-107.0067031,378,39.2
Ouray County, Colorado,38.2016133,-107.763621,379,42.8
Rio Blanco County, Colorado,39.9814297,-108.2377519,380,41
Sedgwick County, Colorado,37.6537367,-97.5247243,381,55.4
Weld County, Colorado,40.3920718,-104.7158226,382,53.6
New Haven County, Connecticut,41.3266911,-72.8042797,383,46.99
Litchfield County, Connecticut,41.7866294,-73.2765361,384,46.99
Hartford County, Connecticut,41.7924343,-72.8042797,385,46.99
Windham County, Connecticut,41.8275622,-72.0468164,386,46.4
New London County, Connecticut,41.5185189,-72.0468164,387,46.99
Middlesex County, Connecticut,40.4111363,-74.3587473,388,48.99
Tolland County, Connecticut,41.8418987,-72.3784679,389,46.99
Fairfield County, Connecticut,39.830506,-82.6483442,390,52
Santa Rosa County, Florida,30.7689907,-86.9824288,391,73.99
Broomfield County, Colorado,39.9205411,-105.0866504,392,53.6
New Castle County, Delaware,39.5392979,-75.667356,393,48.99
Sussex County, Delaware,38.6530841,-75.4344727,394,44.01
Kent County, Delaware,43.0097027,-85.520024,395,39.2
Manatee County, Florida,27.4799195,-82.345189,396,84.2
Citrus County, Florida,28.8848842,-82.5185837,397,84.2
Levy County, Florida,29.3178545,-82.820974,398,82.4
Baker County, Florida,44.7652304,-117.67692,399,35.01
Volusia County, Florida,29.0279842,-81.0754657,400,84
Leon County, Florida,30.4906177,-84.1857115,401,78.8
Broward County, Florida,26.190096,-80.365865,402,82
Madison County, Florida,38.9041402,-89.9253233,403,66.99
Monroe County, Florida,43.2841246,-77.7452081,404,37.99
Escambia County, Florida,30.6389408,-87.3413599,405,73
Hernando County, Florida,28.5578826,-82.4752757,406,84.2
Hillsborough County, Florida,27.9903597,-82.3017728,407,84.2
Okaloosa County, Florida,30.5773401,-86.6611083,408,73.99
Taylor County, Florida,32.2455088,-99.8124935,409,77
Wakulla County, Florida,30.1301689,-84.3542049,410,78.8
Washington County, Florida,45.5469616,-123.1386021,411,50
Duval County, Florida,30.3500511,-81.6035062,412,82.4
Bradford County, Florida,29.9723818,-82.1713632,413,82.4
Brevard County, Florida,28.263933,-80.7214417,414,82
Clay County, Florida,29.9943564,-81.7787021,415,82.4
Lafayette County, Florida,39.0031288,-93.9878427,416,55.99
Lake County, Florida,28.702847,-81.7787021,417,39.2
Nassau County, Florida,40.6546145,-73.5594128,418,46.99
Pinellas County, Florida,27.876394,-82.7778579,419,84.2
Polk County, Florida,27.8617347,-81.6911559,420,84.2
St. Lucie County, Florida,27.3225563,-80.543845,421,80.01
Glades County, Florida,26.984415,-81.0754657,422,84.2
Hendry County, Florida,26.6105319,-81.0754657,423,86
Indian River County, Florida,27.6947732,-80.543845,424,80.01
Jackson County, Florida,38.9914998,-94.315422,425,51.01
Palm Beach County, Florida,26.6514503,-80.2767327,426,81
St. Johns County, Florida,29.9719419,-81.4278984,427,81
Seminole County, Florida,28.7131688,-81.2078164,428,84
Miami-Dade County, Florida,25.5516034,-80.6326916,429,82.4
Bay County, Florida,30.1805306,-85.684578,430,79
Flagler County, Florida,29.4086072,-81.2518833,431,82.99
Franklin County, Florida,40.0154745,-82.9931607,432,51.01
Gulf County, Florida,29.8001623,-85.354965,433,72
Hamilton County, Florida,39.2355447,-84.564147,434,46.99
Liberty County, Florida,30.1633593,-94.8105955,435,82
Osceola County, Florida,28.1019838,-81.0754657,436,82.99
Sumter County, Florida,28.6747526,-82.0842901,437,84.2
Walton County, Florida,30.5640199,-86.1751759,438,75.2
Gadsden County, Florida,30.5562947,-84.6479124,439,80.6
Holmes County, Florida,40.5540928,-81.909826,440,51.01
Jefferson County, Florida,39.5800298,-105.2662931,441,52
Lee County, Florida,26.6630286,-81.9534815,442,84.99
Marion County, Florida,29.2787765,-82.12784,443,48
Hardee County, Florida,27.4501733,-81.8224362,444,84.99
Collier County, Florida,26.069985,-81.4278984,445,86
Okeechobee County, Florida,27.3462015,-80.8986502,446,82.4
Orange County, Florida,33.7174708,-117.8311428,447,63
Alachua County, Florida,29.6579549,-82.3017728,448,82.4
District of Columbia, District of Columbia,38.9071923,-77.0368707,449,42.8
Pasco County, Florida,28.3232418,-82.4319405,450,84.2
Gilchrist County, Florida,29.6871128,-82.820974,451,82.4
Highlands County, Florida,27.3400286,-81.3400268,452,84.99
Suwannee County, Florida,30.2485096,-82.9931607,453,81
DeSoto County, Florida,34.9065453,-89.9626799,454,64
Calhoun County, Florida,42.2073905,-85.023346,455,39.2
Charlotte County, Florida,26.8946009,-81.909826,456,84
Columbia County, Florida,33.5098514,-82.2583297,457,78.8
Dixie County, Florida,29.5207227,-83.1649001,458,81
Martin County, Florida,27.0804935,-80.4103957,459,80.6
