,County,State,Homeless Pop,Population,Homeless Rate
0,Autauga County, Alabama,0,55036,0
1,Bibb County, Alabama,0,22580,0
2,Chambers County, Alabama,0,33895,0
3,Cherokee County, Alabama,0,25855,0
4,Clarke County, Alabama,0,24625,0
5,Butler County, Alabama,0,20126,0
6,Blount County, Alabama,0,57667,0
7,Bullock County, Alabama,0,10478,0
8,Chilton County, Alabama,0,43805,0
9,Choctaw County, Alabama,0,13188,0
10,Coosa County, Alabama,0,10955,0
11,Clay County, Alabama,0,13407,0
12,Cleburne County, Alabama,0,14939,0
13,Coffee County, Alabama,64,51073,0.001554115
14,Conecuh County, Alabama,0,12649,0
15,Colbert County, Alabama,0,54435,0
16,Escambia County, Alabama,0,37621,0
17,Covington County, Alabama,0,37519,0
18,Crenshaw County, Alabama,0,13866,0
19,Cullman County, Alabama,0,81703,0
20,Dale County, Alabama,10,49393,0.000358526
21,Dallas County, Alabama,102,40755,0.008334695
22,DeKalb County, Alabama,0,71194,0
23,Elmore County, Alabama,0,80989,0
24,Hale County, Alabama,0,14995,0
25,Etowah County, Alabama,52,103132,0.003399359
26,Fayette County, Alabama,40,16657,0.001464075
27,Franklin County, Alabama,0,31507,0
28,Geneva County, Alabama,0,26572,0
29,Greene County, Alabama,0,8533,0
30,Lee County, Alabama,103,156597,0.002669154
31,Henry County, Alabama,0,17110,0
32,Houston County, Alabama,103,104108,0.016666667
33,Jackson County, Alabama,0,52326,0
34,Jefferson County, Alabama,1958,659460,0.100010216
35,Lamar County, Alabama,0,14021,0
36,Lauderdale County, Alabama,79,92590,0.003306408
37,Lawrence County, Alabama,0,33288,0
38,Monroe County, Alabama,0,21745,0
39,Limestone County, Alabama,0,91695,0
40,Lowndes County, Alabama,0,10362,0
41,Macon County, Alabama,0,19358,0
42,Madison County, Alabama,957,353213,0.023510625
43,Marengo County, Alabama,0,19743,0
44,Marion County, Alabama,0,30058,0
45,Mobile County, Alabama,921,414328,0.027962474
46,Marshall County, Alabama,63,94738,0.002085471
47,St. Clair County, Alabama,0,86937,0
48,Montgomery County, Alabama,406,227120,0.021941202
49,Morgan County, Alabama,94,119157,0.003672592
50,Perry County, Alabama,0,9680,0
51,Pickens County, Alabama,0,20170,0
52,Pike County, Alabama,0,33287,0
53,Randolph County, Alabama,0,22530,0
54,Russell County, Alabama,155,58480,0.004876514
55,Walker County, Alabama,0,64927,0
56,Shelby County, Alabama,259,208721,0.011523915
57,Sumter County, Alabama,0,13084,0
58,Talladega County, Alabama,0,80888,0
59,Tallapoosa County, Alabama,0,40756,0
60,Tuscaloosa County, Alabama,512,204424,0.013589553
61,Washington County, Alabama,0,16746,0
62,Wilcox County, Alabama,0,10919,0
63,Winston County, Alabama,0,23968,0
64,Baldwin County, Alabama,43,203360,0.001749176
65,Barbour County, Alabama,0,26201,0
66,Calhoun County, Alabama,50,115527,0.001330318
67,Fairbanks North Star Borough, Alaska,538,100031,0.005926873
68,Aleutians East Borough, Alaska,0,3338,0
69,Aleutians West Census Area, Alaska,0,5784,0
70,Denali Borough, Alaska,0,2303,0
71,Dillingham Census Area, Alaska,0,4974,0
72,Bristol Bay Borough, Alaska,0,917,0
73,Anchorage Municipality, Alaska,2885,298225,0.19860939
74,Bethel Census Area, Alaska,0,17957,0
75,Kodiak Island Borough, Alaska,96,13773,0.003574753
76,Haines Borough, Alaska,0,2537,0
77,Hoonah-Angoon Census Area, Alaska,0,2146,0
78,Juneau City and Borough, Alaska,398,32434,0.008760538
79,Kenai Peninsula Borough, Alaska,65,57961,0.002989193
80,Ketchikan Gateway Borough, Alaska,86,13745,0.002583514
81,Sitka City and Borough, Alaska,0,8810,0
82,Lake and Peninsula Borough, Alaska,0,1301,0
83,Matanuska-Susitna Borough, Alaska,178,101135,0.008824988
84,Nome Census Area, Alaska,34,9869,0.002598594
85,North Slope Borough, Alaska,0,9757,0
86,Northwest Arctic Borough, Alaska,0,7715,0
87,Prince of Wales-Hyder Census Area, Alaska,0,6473,0
88,Wrangell City and Borough, Alaska,0,2475,0
89,Skagway Municipality, Alaska,0,1038,0
90,Southeast Fairbanks Census Area, Alaska,0,6889,0
91,Valdez-Cordova Census Area, Alaska,0,9439,0
92,Yakutat City and Borough, Alaska,0,682,0
93,Yukon-Koyukuk Census Area, Alaska,0,5453,0
94,Graham County, Arizona,0,37700,0
95,Apache County, Arizona,127,71602,0.012256321
96,Cochise County, Arizona,43,126516,0.002221304
97,Gila County, Arizona,113,53145,0.001232346
98,Coconino County, Arizona,618,138639,0.00296089
99,Santa Cruz County, Arizona,54,46358,0.000621139
100,Greenlee County, Arizona,0,9368,0
101,La Paz County, Arizona,12,20477,5.90E-05
102,Maricopa County, Arizona,8003,4155501,0.09795234
103,Mohave County, Arizona,220,204691,0.002716418
104,Navajo County, Arizona,126,107902,0.001210282
105,Pima County, Arizona,2104,1007257,0.040209456
106,Pinal County, Arizona,66,405537,0.000815943
107,Yavapai County, Arizona,99,220972,0.000484288
108,Yuma County, Arizona,801,204281,0.047832318
109,Sebastian County, Arkansas,291,127362,0.021705079
110,Sevier County, Arkansas,0,17206,0
111,Sharp County, Arkansas,0,17041,0
112,Stone County, Arkansas,0,12443,0
113,Union County, Arkansas,67,40022,0.001529506
114,Van Buren County, Arkansas,0,16751,0
115,Washington County, Arkansas,305,223683,0.027841168
116,White County, Arkansas,32,78706,0.000647865
117,Yell County, Arkansas,0,21601,0
118,Carroll County, Arkansas,0,27782,0
119,Arkansas County, Arkansas,0,18352,0
120,Bradley County, Arkansas,0,10994,0
121,Boone County, Arkansas,0,37212,0
122,Ashley County, Arkansas,0,20771,0
123,Baxter County, Arkansas,32,41093,0.001589983
124,Benton County, Arkansas,357,251823,0.000861636
125,Calhoun County, Arkansas,0,5194,0
126,Chicot County, Arkansas,0,11008,0
127,Conway County, Arkansas,0,20954,0
128,Clark County, Arkansas,0,22495,0
129,Clay County, Arkansas,0,15190,0
130,Cleburne County, Arkansas,0,25361,0
131,Cleveland County, Arkansas,0,8332,0
132,Columbia County, Arkansas,87,23992,0.008303111
133,Desha County, Arkansas,0,12094,0
134,Craighead County, Arkansas,355,104246,0.010473521
135,Crawford County, Arkansas,26,62119,0.001055838
136,Crittenden County, Arkansas,144,49278,0.008645014
137,Cross County, Arkansas,0,17164,0
138,Dallas County, Arkansas,0,7585,0
139,Hempstead County, Arkansas,83,22154,0.001439298
140,Drew County, Arkansas,0,18620,0
141,Faulkner County, Arkansas,104,121282,0.00029444
142,Garland County, Arkansas,232,97994,0.004215423
143,Franklin County, Arkansas,0,17803,0
144,Fulton County, Arkansas,0,12092,0
145,Grant County, Arkansas,0,18076,0
146,Greene County, Arkansas,133,44197,0.009656574
147,Jefferson County, Arkansas,85,71373,0.03690838
148,Hot Spring County, Arkansas,0,33480,0
149,Howard County, Arkansas,0,13472,0
150,Independence County, Arkansas,0,37097,0
151,Izard County, Arkansas,0,13521,0
152,Jackson County, Arkansas,0,17429,0
153,Miller County, Arkansas,56,43760,0.003118561
154,Johnson County, Arkansas,0,26155,0
155,Lafayette County, Arkansas,0,7051,0
156,Lawrence County, Arkansas,48,16777,0.000479851
157,Lee County, Arkansas,0,9614,0
158,Lincoln County, Arkansas,0,13885,0
159,Madison County, Arkansas,0,15907,0
160,Marion County, Arkansas,0,16374,0
161,Little River County, Arkansas,0,12494,0
162,Logan County, Arkansas,0,21802,0
163,Lonoke County, Arkansas,0,71568,0
164,Ouachita County, Arkansas,0,24378,0
165,Mississippi County, Arkansas,101,43534,0.014661054
166,Monroe County, Arkansas,0,7420,0
167,Montgomery County, Arkansas,0,9059,0
168,Nevada County, Arkansas,0,8528,0
169,Newton County, Arkansas,0,7898,0
170,Pike County, Arkansas,0,10893,0
171,Perry County, Arkansas,0,10320,0
172,Phillips County, Arkansas,0,19518,0
173,St. Francis County, Arkansas,0,26688,0
174,Woodruff County, Arkansas,0,6763,0
175,Pope County, Arkansas,62,63372,6.16E-05
176,Pulaski County, Arkansas,1768,392848,0.00042546
177,Poinsett County, Arkansas,0,24098,0
178,Polk County, Arkansas,0,20212,0
179,Prairie County, Arkansas,0,8309,0
180,Randolph County, Arkansas,0,17514,0
181,Saline County, Arkansas,16,116252,0.000781364
182,Scott County, Arkansas,0,10584,0
183,Searcy County, Arkansas,0,7925,0
184,Colusa County, California,32,21479,0.000230815
185,Butte County, California,1397,225207,0.006322068
186,Alameda County, California,4475,1629615,0.0219061
187,Alpine County, California,0,1203,0
188,Amador County, California,50,37306,0.000463383
189,Calaveras County, California,48,45057,0.000118362
190,Contra Costa County, California,2194,1123678,0.027875893
191,Del Norte County, California,0,27442,0
192,Kings County, California,231,150183,0.008655576
193,Glenn County, California,24,27935,6.11E-05
194,Humboldt County, California,1933,135490,0.127254773
195,Imperial County, California,132,179957,0.007690515
196,El Dorado County, California,63,185015,0.008305867
197,Fresno County, California,2561,971616,0.137540279
198,Inyo County, California,0,18195,0
199,Kern County, California,1652,878744,0.09432454
200,Mariposa County, California,0,17658,0
201,Lake County, California,150,64095,0.008954689
202,Lassen County, California,214,31470,0.005750833
203,Los Angeles County, California,29593,10105722,2.188669477
204,Madera County, California,511,154440,0.013774699
205,Marin County, California,804,260814,0.057904213
206,Orange County, California,6193,3155816,0.284056509
207,Mendocino County, California,526,87497,0.029099358
208,Merced County, California,380,267390,0.007711352
209,Modoc County, California,0,9017,0
210,Mono County, California,0,14058,0
211,Monterey County, California,1320,433168,0.121178739
212,Napa County, California,596,141005,0.008350497
213,Nevada County, California,225,98838,0.013741297
214,San Bernardino County, California,2097,2121220,0.231482504
215,Sacramento County, California,1993,1495400,0.188303099
216,San Benito County, California,61,58671,0.007697161
217,Placer County, California,495,374985,0.00388656
218,Plumas County, California,0,18724,0
219,Riverside County, California,2206,2355002,0.008760121
220,San Joaquin County, California,2110,724153,0.191678779
221,San Diego County, California,6736,3283665,0.201194743
222,San Francisco County, California,8231,864263,0.314700822
223,Siskiyou County, California,52,43530,0.005408779
224,San Luis Obispo County, California,504,280119,0.031684164
225,San Mateo County, California,2570,763450,0.212502067
226,Santa Barbara County, California,1549,442996,0.128101224
227,Santa Clara County, California,7356,1911226,0.546021378
228,Santa Cruz County, California,1211,273263,0.012357899
229,Shasta County, California,1273,178919,0.029241512
230,Sierra County, California,0,2885,0
231,Yuba County, California,146,74644,0.017571308
232,Solano County, California,392,434981,0.009794613
233,Sonoma County, California,2189,500943,0.323672926
234,Stanislaus County, California,1499,535684,0.059106502
235,Sutter County, California,0,95583,0
236,Tehama County, California,0,63247,0
237,Trinity County, California,16,13037,0.000722217
238,Ventura County, California,1782,847834,0.104571328
239,Yolo County, California,229,212605,0.018403922
240,Tulare County, California,539,458809,0.00240966
241,Tuolumne County, California,88,53899,0.001991085
242,Costilla County, Colorado,0,3628,0
243,Crowley County, Colorado,0,5514,0
244,Custer County, Colorado,0,4505,0
245,Delta County, Colorado,0,30217,0
246,Denver County, Colorado,3951,678467,0.382848837
247,Douglas County, Colorado,64,320940,0.002962826
248,Dolores County, Colorado,0,1736,0
249,Grand County, Colorado,0,14793,0
250,Elbert County, Colorado,0,24553,0
251,El Paso County, Colorado,1410,674826,0.271467077
252,Fremont County, Colorado,48,46601,0.002133808
253,Garfield County, Colorado,36,57945,0.003274513
254,Gilpin County, Colorado,0,5793,0
255,Larimer County, Colorado,638,330976,0.085983827
256,Gunnison County, Colorado,0,16215,0
257,Hinsdale County, Colorado,0,820,0
258,Huerfano County, Colorado,0,6498,0
259,Jackson County, Colorado,0,1372,0
260,Jefferson County, Colorado,302,564029,0.016455972
261,Kiowa County, Colorado,0,1368,0
262,Kit Carson County, Colorado,0,7846,0
263,Lake County, Colorado,0,7481,0
264,Las Animas County, Colorado,12,14151,0.000274223
265,La Plata County, Colorado,49,54469,0.00543418
266,Morgan County, Colorado,34,28123,0.000127155
267,Lincoln County, Colorado,0,5520,0
268,Logan County, Colorado,0,21885,0
269,Mesa County, Colorado,88,148798,0.001178929
270,Mineral County, Colorado,0,834,0
271,Moffat County, Colorado,0,13056,0
272,Montezuma County, Colorado,44,25770,0.001398157
273,Montrose County, Colorado,0,40908,0
274,Prowers County, Colorado,0,12084,0
275,Otero County, Colorado,0,18325,0
276,Ouray County, Colorado,0,4653,0
277,Park County, Colorado,0,16900,0
278,Phillips County, Colorado,0,4327,0
279,Pitkin County, Colorado,15,17747,0.000255663
280,San Juan County, Colorado,0,569,0
281,Routt County, Colorado,0,24359,0
282,Saguache County, Colorado,0,6338,0
283,Pueblo County, Colorado,359,163368,0.002546009
284,Rio Blanco County, Colorado,0,6557,0
285,Rio Grande County, Colorado,8,11430,1.85E-05
286,San Miguel County, Colorado,0,7804,0
287,Sedgwick County, Colorado,0,2357,0
288,Summit County, Colorado,172,29722,0.000374884
289,Teller County, Colorado,0,23769,0
290,Washington County, Colorado,0,4809,0
291,Weld County, Colorado,225,285729,0.002276452
292,Yuma County, Colorado,0,10109,0
293,Bent County, Colorado,0,5806,0
294,Adams County, Colorado,584,487850,0.006674515
295,Arapahoe County, Colorado,317,626612,0.001160055
296,Archuleta County, Colorado,34,12592,0.002607962
297,Baca County, Colorado,0,3581,0
298,Alamosa County, Colorado,98,16345,4.16E-05
299,Conejos County, Colorado,0,8147,0
300,Boulder County, Colorado,713,316782,0.000373059
301,Broomfield County, Colorado,0,64283,0
302,Chaffee County, Colorado,0,18818,0
303,Cheyenne County, Colorado,0,2127,0
304,Clear Creek County, Colorado,0,9257,0
305,Eagle County, Colorado,0,53726,0
306,Fairfield County, Connecticut,2353,947328,0.085744479
307,Litchfield County, Connecticut,187,184454,0.008706178
308,Hartford County, Connecticut,2624,897417,0.093932343
309,Middlesex County, Connecticut,143,164110,0.000634971
310,Windham County, Connecticut,206,116674,0.00137166
311,New Haven County, Connecticut,2039,862127,0.108897671
312,New London County, Connecticut,475,270772,0.001695708
313,Tolland County, Connecticut,95,151596,9.78E-05
314,Kent County, Delaware,309,173145,0.000351638
315,Sussex County, Delaware,243,215551,7.70E-05
316,New Castle County, Delaware,1046,555036,0.001233732
317,District of Columbia, District of Columbia,6893,672391,0.152983998
318,Brevard County, Florida,333,568183,0.003483883
319,Charlotte County, Florida,179,173236,0.000234462
320,Alachua County, Florida,382,259865,0.00708733
321,Bay County, Florida,610,180117,0.000842363
322,Bradford County, Florida,0,26775,0
323,Broward County, Florida,4404,1890416,1.213891951
324,DeSoto County, Florida,0,35675,0
325,Baker County, Florida,0,27537,0
326,Calhoun County, Florida,0,14458,0
327,Citrus County, Florida,189,141373,0.000588895
328,Clay County, Florida,0,203291,0
329,Collier County, Florida,782,356774,0.10453148
330,Dixie County, Florida,0,16323,0
331,Columbia County, Florida,184,68484,0.014093137
332,Gilchrist County, Florida,0,17191,0
333,Duval County, Florida,3634,912043,0.317935258
334,Escambia County, Florida,894,309924,0.420310296
335,Flagler County, Florida,80,105015,0.013778849
336,Franklin County, Florida,0,11675,0
337,Gadsden County, Florida,0,46113,0
338,Hillsborough County, Florida,2304,1351087,4.049209139
339,Glades County, Florida,0,13197,0
340,Gulf County, Florida,0,16018,0
341,Hamilton County, Florida,0,14238,0
342,Hardee County, Florida,0,27326,0
343,Hendry County, Florida,0,39064,0
344,Hernando County, Florida,113,179144,0.004754091
345,Highlands County, Florida,133,100177,0.013156593
346,Lake County, Florida,342,326215,0.001079607
347,Jefferson County, Florida,0,14085,0
348,Lafayette County, Florida,18,8684,0.001271995
349,Holmes County, Florida,0,19483,0
350,Indian River County, Florida,294,147981,0.031759749
351,Jackson County, Florida,0,48571,0
352,Martin County, Florida,0,155719,0
353,Lee County, Florida,823,700165,0.05035179
354,Leon County, Florida,3477,285890,0.115067677
355,Levy County, Florida,169,39713,0.003626532
356,Liberty County, Florida,0,8347,0
357,Madison County, Florida,0,18518,0
358,Manatee County, Florida,1279,363542,0.04547879
359,Marion County, Florida,324,343778,0.019171598
360,Pasco County, Florida,380,498136,0.059955822
361,Miami-Dade County, Florida,6756,2702602,0.045403836
362,Monroe County, Florida,1022,76745,0.084574644
363,Nassau County, Florida,105,78435,0.12804878
364,Osceola County, Florida,321,325168,0.000475678
365,Palm Beach County, Florida,1329,1426772,0.276356831
366,Okaloosa County, Florida,220,197591,0.014871899
367,Okeechobee County, Florida,0,40228,0
368,Orange County, Florida,4252,1290216,0.232032742
369,Seminole County, Florida,953,449260,0.220244973
370,Pinellas County, Florida,4070,949842,0.323221093
371,Polk County, Florida,1125,652256,0.00165815
372,Putnam County, Florida,106,72435,0.07748538
373,St. Johns County, Florida,244,226578,0.037550015
374,St. Lucie County, Florida,219,298763,0.061156102
375,Santa Rosa County, Florida,0,166778,0
376,Sarasota County, Florida,1672,404839,0.288624202
377,Wakulla County, Florida,69,31586,0.00879429
378,Sumter County, Florida,54,116754,0.000931918
379,Suwannee County, Florida,0,43814,0
380,Taylor County, Florida,0,22350,0
381,Union County, Florida,0,15300,0
382,Volusia County, Florida,1307,518660,0.280894047
383,Walton County, Florida,0,63457,0
384,Washington County, Florida,0,24472,0
385,Banks County, Georgia,0,18363,0
386,Barrow County, Georgia,7,75099,8.12E-06
387,Ben Hill County, Georgia,0,17272,0
388,Camden County, Georgia,0,52252,0
389,Bleckley County, Georgia,0,12779,0
390,Baldwin County, Georgia,28,45527,0.000103408
391,Bacon County, Georgia,0,11279,0
392,Baker County, Georgia,0,3251,0
393,Bibb County, Georgia,713,153923,0.000752643
394,Bartow County, Georgia,50,102623,0.0002998
395,Berrien County, Georgia,0,19014,0
396,Brooks County, Georgia,0,15629,0
397,Bryan County, Georgia,0,34883,0
398,Bulloch County, Georgia,0,73742,0
399,Burke County, Georgia,0,22645,0
400,Butts County, Georgia,0,23556,0
401,Calhoun County, Georgia,0,6503,0
402,Chattahoochee County, Georgia,0,11096,0
403,Candler County, Georgia,0,10894,0
404,Carroll County, Georgia,75,114898,0.000262339
405,Catoosa County, Georgia,0,65870,0
406,Charlton County, Georgia,219,12963,0.011826331
407,Chatham County, Georgia,1046,285506,0.013629552
408,Coffee County, Georgia,0,43048,0
409,Chattooga County, Georgia,0,24880,0
410,Cherokee County, Georgia,0,235896,0
411,Clarke County, Georgia,341,123554,0.001725787
412,Clay County, Georgia,0,3024,0
413,Clayton County, Georgia,242,274150,0.007661622
414,Clinch County, Georgia,0,6788,0
415,Cobb County, Georgia,729,739072,0.000799304
416,Crisp County, Georgia,0,23005,0
417,Coweta County, Georgia,0,138015,0
418,Crawford County, Georgia,0,12385,0
419,Colquitt County, Georgia,77,45890,0.008866882
420,Columbia County, Georgia,24,143723,7.36E-05
421,Cook County, Georgia,77,17190,0.000981705
422,Dooly County, Georgia,0,14053,0
423,Dade County, Georgia,0,16282,0
424,Dawson County, Georgia,0,23397,0
425,Decatur County, Georgia,0,27023,0
426,DeKalb County, Georgia,572,736066,0.014642638
427,Dodge County, Georgia,0,21063,0
428,Evans County, Georgia,0,10757,0
429,Dougherty County, Georgia,329,91522,0.00023059
430,Douglas County, Georgia,97,140152,0.000428109
431,Early County, Georgia,0,10405,0
432,Echols County, Georgia,0,4011,0
433,Effingham County, Georgia,0,57087,0
434,Elbert County, Georgia,0,19288,0
435,Emanuel County, Georgia,0,22502,0
436,Fannin County, Georgia,0,24480,0
437,Fayette County, Georgia,23,110306,0.001615395
438,Floyd County, Georgia,109,96471,0.013058584
439,Forsyth County, Georgia,0,211300,0
440,Franklin County, Georgia,0,22328,0
441,Appling County, Georgia,0,18471,0
442,Brantley County, Georgia,0,18411,0
443,Atkinson County, Georgia,0,8313,0
444,Fulton County, Georgia,8105,1010420,0.57543486
445,Heard County, Georgia,0,11607,0
446,Gilmer County, Georgia,0,29614,0
447,Glascock County, Georgia,0,3027,0
448,Greene County, Georgia,0,16732,0
449,Gwinnett County, Georgia,268,889954,0.006662026
450,Glynn County, Georgia,83,83467,6.43E-05
451,Grady County, Georgia,0,25048,0
452,Hall County, Georgia,283,192865,0.000420886
453,Hancock County, Georgia,0,8667,0
454,Haralson County, Georgia,0,28722,0
455,Harris County, Georgia,0,33198,0
456,Hart County, Georgia,0,25535,0
457,Lamar County, Georgia,0,18282,0
458,Henry County, Georgia,133,217506,0.009199059
459,Houston County, Georgia,61,150341,0.000352121
460,Irwin County, Georgia,0,9278,0
461,Jasper County, Georgia,0,13732,0
462,Jeff Davis County, Georgia,0,14999,0
463,Jefferson County, Georgia,0,15954,0
464,Jenkins County, Georgia,0,8929,0
465,Johnson County, Georgia,0,9800,0
466,Jones County, Georgia,0,28540,0
467,Gordon County, Georgia,23,56424,0.005734231
468,Habersham County, Georgia,52,43878,0.000623001
469,Jackson County, Georgia,0,63851,0
470,Macon County, Georgia,0,13675,0
471,Lanier County, Georgia,0,10388,0
472,Laurens County, Georgia,0,47451,0
473,Lee County, Georgia,0,29216,0
474,Liberty County, Georgia,0,62120,0
475,Lincoln County, Georgia,0,7768,0
476,Long County, Georgia,0,17857,0
477,Lowndes County, Georgia,236,113941,0.020709021
478,Lumpkin County, Georgia,0,31567,0
479,McDuffie County, Georgia,0,21488,0
480,McIntosh County, Georgia,0,14061,0
481,Monroe County, Georgia,0,26795,0
482,Madison County, Georgia,0,28600,0
483,Marion County, Georgia,0,8558,0
484,Meriwether County, Georgia,0,21152,0
485,Miller County, Georgia,0,5884,0
486,Mitchell County, Georgia,0,22574,0
487,Oconee County, Georgia,0,35972,0
488,Montgomery County, Georgia,0,8962,0
489,Morgan County, Georgia,0,18013,0
490,Murray County, Georgia,0,39444,0
491,Muscogee County, Georgia,789,198647,0.011363473
492,Newton County, Georgia,177,105042,0.001149926
493,Oglethorpe County, Georgia,0,14654,0
494,Paulding County, Georgia,0,152399,0
495,Pike County, Georgia,0,17919,0
496,Polk County, Georgia,0,41444,0
497,Peach County, Georgia,0,27027,0
498,Pickens County, Georgia,0,30343,0
499,Pierce County, Georgia,0,19141,0
500,Pulaski County, Georgia,0,11396,0
501,Stephens County, Georgia,56,25625,0.021317092
502,Putnam County, Georgia,0,21430,0
503,Quitman County, Georgia,0,2140,0
504,Rabun County, Georgia,0,16354,0
505,Randolph County, Georgia,0,7206,0
506,Richmond County, Georgia,382,201568,0.178504673
507,Rockdale County, Georgia,0,88482,0
508,Schley County, Georgia,0,5168,0
509,Screven County, Georgia,0,14037,0
510,Seminole County, Georgia,0,8549,0
511,Spalding County, Georgia,165,64192,0.015883712
512,Thomas County, Georgia,97,44909,0.003391608
513,Stewart County, Georgia,0,5832,0
514,Sumter County, Georgia,37,30687,0.004327992
515,Talbot County, Georgia,0,6423,0
516,Telfair County, Georgia,4,16339,0.000480596
517,Terrell County, Georgia,0,8978,0
518,Taliaferro County, Georgia,0,1844,0
519,Tattnall County, Georgia,0,25402,0
520,Taylor County, Georgia,0,8267,0
521,Union County, Georgia,0,22262,0
522,Tift County, Georgia,103,40531,0.003792342
523,Toombs County, Georgia,0,27160,0
524,Towns County, Georgia,0,11173,0
525,Treutlen County, Georgia,0,6752,0
526,Troup County, Georgia,178,69433,0.002702292
527,Turner County, Georgia,0,8036,0
528,Twiggs County, Georgia,0,8323,0
529,Washington County, Georgia,0,20506,0
530,Upson County, Georgia,0,26241,0
531,Walker County, Georgia,4,68609,4.15E-05
532,Walton County, Georgia,0,88695,0
533,Ware County, Georgia,22,35688,0.00050139
534,Warren County, Georgia,0,5410,0
535,Wilkinson County, Georgia,0,9147,0
536,White County, Georgia,0,28509,0
537,Whitfield County, Georgia,239,103963,0.011299168
538,Wayne County, Georgia,0,29833,0
539,Webster County, Georgia,0,2627,0
540,Wheeler County, Georgia,0,7952,0
541,Wilcox County, Georgia,0,8896,0
542,Wilkes County, Georgia,0,9905,0
543,Worth County, Georgia,0,20809,0
544,Maui County, Hawaii,1233,164094,0.03534673
545,Hawaii County, Hawaii,863,196325,0.036636101
546,Honolulu County, Hawaii,7343,990060,0.674040756
547,Kalawao County, Hawaii,0,86,0
548,Kauai County, Hawaii,43,71093,0.000374245
549,Bear Lake County, Idaho,0,5942,0
550,Benewah County, Idaho,0,9050,0
551,Ada County, Idaho,1817,435117,0.07898283
552,Adams County, Idaho,0,3946,0
553,Bannock County, Idaho,257,84113,0.001862116
554,Bingham County, Idaho,0,45369,0
555,Blaine County, Idaho,0,21583,0
556,Boise County, Idaho,0,6968,0
557,Clark County, Idaho,0,1055,0
558,Boundary County, Idaho,0,11323,0
559,Bonner County, Idaho,163,41855,0.01042933
560,Bonneville County, Idaho,561,110404,0.026634383
561,Butte County, Idaho,0,2613,0
562,Camas County, Idaho,0,886,0
563,Canyon County, Idaho,446,207027,0.001890664
564,Caribou County, Idaho,0,6862,0
565,Cassia County, Idaho,0,23472,0
566,Idaho County, Idaho,70,16275,0.002395947
567,Clearwater County, Idaho,0,8533,0
568,Custer County, Idaho,0,4141,0
569,Elmore County, Idaho,0,26232,0
570,Franklin County, Idaho,0,13120,0
571,Fremont County, Idaho,0,12889,0
572,Gem County, Idaho,0,16850,0
573,Gooding County, Idaho,0,15110,0
574,Lewis County, Idaho,0,3824,0
575,Jefferson County, Idaho,0,27410,0
576,Jerome County, Idaho,0,23039,0
577,Kootenai County, Idaho,256,150128,0.008109735
578,Latah County, Idaho,110,38697,0.005119136
579,Lemhi County, Idaho,0,7755,0
580,Twin Falls County, Idaho,75,82248,0.00416366
581,Lincoln County, Idaho,0,5296,0
582,Madison County, Idaho,0,38241,0
583,Minidoka County, Idaho,32,20448,0.000349643
584,Nez Perce County, Idaho,150,40014,0.006127451
585,Oneida County, Idaho,0,4284,0
586,Shoshone County, Idaho,0,12490,0
587,Teton County, Idaho,0,10776,0
588,Owyhee County, Idaho,0,11384,0
589,Payette County, Idaho,0,22839,0
590,Power County, Idaho,0,7667,0
591,Valley County, Idaho,0,10104,0
592,Washington County, Idaho,0,9996,0
593,Saline County, Illinois,0,24430,0
594,Pope County, Illinois,0,4360,0
595,Pulaski County, Illinois,0,5691,0
596,Putnam County, Illinois,0,5771,0
597,Randolph County, Illinois,0,32829,0
598,Richland County, Illinois,0,15953,0
599,Rock Island County, Illinois,289,146205,0.016128132
600,St. Clair County, Illinois,391,264433,0.001939792
601,Sangamon County, Illinois,675,198134,0.048087198
602,Schuyler County, Illinois,0,7181,0
603,Stephenson County, Illinois,53,45839,0.00278742
604,Tazewell County, Illinois,84,134695,0.001224329
605,Shelby County, Illinois,0,21906,0
606,Stark County, Illinois,0,5551,0
607,White County, Illinois,0,14186,0
608,Union County, Illinois,0,17267,0
609,Scott County, Illinois,0,5109,0
610,Vermilion County, Illinois,98,79207,0.000699241
611,Wabash County, Illinois,0,11568,0
612,Warren County, Illinois,0,17429,0
613,Washington County, Illinois,0,14260,0
614,Wayne County, Illinois,0,16569,0
615,Whiteside County, Illinois,40,56823,0.00555093
616,Will County, Illinois,483,687727,0.005458737
617,Williamson County, Illinois,152,67477,0.004259135
618,Winnebago County, Illinois,823,287512,0.0275869
619,Woodford County, Illinois,16,38942,0.002012072
620,De Witt County, Illinois,0,16176,0
621,Douglas County, Illinois,0,19830,0
622,Fulton County, Illinois,0,35733,0
623,DuPage County, Illinois,867,931826,0.011757208
624,Edgar County, Illinois,48,17603,0.000388494
625,Ford County, Illinois,0,13470,0
626,Franklin County, Illinois,0,39302,0
627,Edwards County, Illinois,0,6570,0
628,Effingham County, Illinois,0,34164,0
629,Fayette County, Illinois,0,21980,0
630,Hardin County, Illinois,0,4161,0
631,Gallatin County, Illinois,0,5226,0
632,Greene County, Illinois,0,13311,0
633,Grundy County, Illinois,83,50333,0.015672205
634,Hamilton County, Illinois,0,8259,0
635,Hancock County, Illinois,0,18264,0
636,Kankakee County, Illinois,172,110801,0.013109756
637,Henderson County, Illinois,0,6927,0
638,Henry County, Illinois,0,49649,0
639,Iroquois County, Illinois,0,28457,0
640,Jackson County, Illinois,118,59115,0.030857741
641,Jasper County, Illinois,0,9608,0
